Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
"{'y': 0.36048377, 'x': 0.69905967, 'confidence': 0.41720375}","{'y': 0.31816456, 'x': 0.73623353, 'confidence': 0.3263534}","{'y': 0.33026323, 'x': 0.66893286, 'confidence': 0.37992713}","{'y': 0.33927402, 'x': 0.82302123, 'confidence': 0.47766826}","{'y': 0.35573727, 'x': 0.6331748, 'confidence': 0.24524823}","{'y': 0.61283994, 'x': 0.9091335, 'confidence': 0.2532638}","{'y': 0.6310391, 'x': 0.63806796, 'confidence': 0.21740316}","{'y': 0.7787706, 'x': 0.42953265, 'confidence': 0.24423914}","{'y': 0.7840738, 'x': 0.4071557, 'confidence': 0.24303874}","{'y': 0.54997563, 'x': 0.81281406, 'confidence': 0.024358412}","{'y': 0.61108196, 'x': 0.660926, 'confidence': 0.03663147}","{'y': 0.9931621, 'x': 0.7880663, 'confidence': 0.09505625}","{'y': 0.86742246, 'x': 0.59968346, 'confidence': 0.032762863}","{'y': 1.0091618, 'x': 0.7293788, 'confidence': 0.048989035}","{'y': 0.9884024, 'x': 0.44966468, 'confidence': 0.050007403}","{'y': 0.8925806, 'x': 0.29662082, 'confidence': 0.080791384}","{'y': 0.9720277, 'x': 0.40466353, 'confidence': 0.08678436}"
"{'y': 0.5360196, 'x': 0.561769, 'confidence': 0.17682743}","{'y': 0.5136947, 'x': 0.5753227, 'confidence': 0.2058293}","{'y': 0.5253866, 'x': 0.55967915, 'confidence': 0.15950495}","{'y': 0.52137953, 'x': 0.5763803, 'confidence': 0.23666517}","{'y': 0.520445, 'x': 0.57306683, 'confidence': 0.18096249}","{'y': 0.60103077, 'x': 0.56690603, 'confidence': 0.23335254}","{'y': 0.60982907, 'x': 0.55040544, 'confidence': 0.27157405}","{'y': 0.76183206, 'x': 0.5711006, 'confidence': 0.19566245}","{'y': 0.76924676, 'x': 0.5119463, 'confidence': 0.2320488}","{'y': 0.8570018, 'x': 0.57957774, 'confidence': 0.08813914}","{'y': 0.8493066, 'x': 0.5467919, 'confidence': 0.085587926}","{'y': 0.8607204, 'x': 0.5682905, 'confidence': 0.1670567}","{'y': 0.8606637, 'x': 0.54504615, 'confidence': 0.15877548}","{'y': 0.96617746, 'x': 0.5870248, 'confidence': 0.1324521}","{'y': 0.96775985, 'x': 0.57449335, 'confidence': 0.14499398}","{'y': 0.97852755, 'x': 0.6317183, 'confidence': 0.13433029}","{'y': 0.97272444, 'x': 0.6235723, 'confidence': 0.16531253}"
"{'y': 0.32200623, 'x': 0.37929574, 'confidence': 0.25535482}","{'y': 0.29558936, 'x': 0.386138, 'confidence': 0.18844095}","{'y': 0.29480052, 'x': 0.36428475, 'confidence': 0.2626836}","{'y': 0.3172065, 'x': 0.38434032, 'confidence': 0.20799945}","{'y': 0.31303626, 'x': 0.31424356, 'confidence': 0.25154898}","{'y': 0.52491105, 'x': 0.4777766, 'confidence': 0.15727356}","{'y': 0.55190146, 'x': 0.45423788, 'confidence': 0.17267516}","{'y': 0.59066683, 'x': 0.49616408, 'confidence': 0.09310596}","{'y': 0.6044601, 'x': 0.45901307, 'confidence': 0.113620885}","{'y': 0.57886446, 'x': 0.4996562, 'confidence': 0.07163136}","{'y': 0.5882346, 'x': 0.46569076, 'confidence': 0.0885613}","{'y': 0.74805886, 'x': 0.5070184, 'confidence': 0.056657776}","{'y': 0.7536105, 'x': 0.46096823, 'confidence': 0.049009234}","{'y': 0.87817043, 'x': 0.58684665, 'confidence': 0.054355085}","{'y': 0.8750366, 'x': 0.4525754, 'confidence': 0.06095204}","{'y': 0.99149454, 'x': 0.5775423, 'confidence': 0.025993615}","{'y': 0.98331994, 'x': 0.5084613, 'confidence': 0.03646208}"
"{'y': 0.32524812, 'x': 0.6276875, 'confidence': 0.22027765}","{'y': 0.25584456, 'x': 0.64152235, 'confidence': 0.3359681}","{'y': 0.3018031, 'x': 0.5869299, 'confidence': 0.27216178}","{'y': 0.28062767, 'x': 0.7388884, 'confidence': 0.35619786}","{'y': 0.33474055, 'x': 0.5524672, 'confidence': 0.15695277}","{'y': 0.46279684, 'x': 0.8661519, 'confidence': 0.1527643}","{'y': 0.5179602, 'x': 0.5382097, 'confidence': 0.11963083}","{'y': 0.56600124, 'x': 0.6866472, 'confidence': 0.048142284}","{'y': 0.7541171, 'x': 0.43150395, 'confidence': 0.20815465}","{'y': 0.36403406, 'x': 0.7995117, 'confidence': 0.10193844}","{'y': 0.692646, 'x': 0.5074234, 'confidence': 0.03580341}","{'y': 0.94641703, 'x': 0.8454779, 'confidence': 0.14595811}","{'y': 0.80725676, 'x': 0.5800324, 'confidence': 0.035503715}","{'y': 0.9173461, 'x': 0.6249231, 'confidence': 0.04947049}","{'y': 0.8509287, 'x': 0.5994306, 'confidence': 0.11178837}","{'y': 1.0049942, 'x': 0.5770008, 'confidence': 0.025507841}","{'y': 0.9808716, 'x': 0.40501836, 'confidence': 0.041002262}"
"{'y': 0.44721872, 'x': 0.4938019, 'confidence': 0.13599512}","{'y': 0.40129578, 'x': 0.53165656, 'confidence': 0.070454575}","{'y': 0.42545384, 'x': 0.49030322, 'confidence': 0.1055424}","{'y': 0.3987241, 'x': 0.5544316, 'confidence': 0.069698215}","{'y': 0.41442877, 'x': 0.49304426, 'confidence': 0.10466679}","{'y': 0.50530374, 'x': 0.5630677, 'confidence': 0.08448808}","{'y': 0.54210186, 'x': 0.50374776, 'confidence': 0.15686148}","{'y': 0.6155145, 'x': 0.5574958, 'confidence': 0.08672771}","{'y': 0.5920367, 'x': 0.48877478, 'confidence': 0.09671906}","{'y': 0.6237214, 'x': 0.56252974, 'confidence': 0.073522426}","{'y': 0.5992209, 'x': 0.4953073, 'confidence': 0.0702745}","{'y': 0.6723947, 'x': 0.5816954, 'confidence': 0.06846924}","{'y': 0.67729986, 'x': 0.5235812, 'confidence': 0.108352475}","{'y': 0.77694273, 'x': 0.52132636, 'confidence': 0.117588855}","{'y': 0.7757239, 'x': 0.5070445, 'confidence': 0.12912342}","{'y': 0.80962527, 'x': 0.4684477, 'confidence': 0.09992813}","{'y': 0.8117515, 'x': 0.4686684, 'confidence': 0.112870775}"
"{'y': 0.24577913, 'x': 0.63300765, 'confidence': 0.4675098}","{'y': 0.1939069, 'x': 0.6823554, 'confidence': 0.46250048}","{'y': 0.20753631, 'x': 0.5994061, 'confidence': 0.3466629}","{'y': 0.22088061, 'x': 0.80379665, 'confidence': 0.44504336}","{'y': 0.24877247, 'x': 0.5646171, 'confidence': 0.2860029}","{'y': 0.5429197, 'x': 0.94470304, 'confidence': 0.30082786}","{'y': 0.5797341, 'x': 0.53172207, 'confidence': 0.46660993}","{'y': 0.94146913, 'x': 0.97403836, 'confidence': 0.12732895}","{'y': 0.58747554, 'x': 0.5037177, 'confidence': 0.034880564}","{'y': 0.45339805, 'x': 0.72485244, 'confidence': 0.015588205}","{'y': 0.50034887, 'x': 0.49796227, 'confidence': 0.30428442}","{'y': 0.9873902, 'x': 0.7619119, 'confidence': 0.173423}","{'y': 0.9893171, 'x': 0.60474247, 'confidence': 0.15391274}","{'y': 0.9993737, 'x': 0.66402847, 'confidence': 0.071840055}","{'y': 0.97212404, 'x': 0.48934677, 'confidence': 0.056138597}","{'y': 1.0022011, 'x': 0.7315872, 'confidence': 0.06506963}","{'y': 0.5011084, 'x': 0.49096718, 'confidence': 0.094244145}"
"{'y': 0.4617682, 'x': 0.52245766, 'confidence': 0.19002381}","{'y': 0.43884206, 'x': 0.52342194, 'confidence': 0.15812407}","{'y': 0.45039642, 'x': 0.51185524, 'confidence': 0.14043674}","{'y': 0.4363499, 'x': 0.51237756, 'confidence': 0.20196289}","{'y': 0.45129293, 'x': 0.50931144, 'confidence': 0.12544861}","{'y': 0.5275606, 'x': 0.5124188, 'confidence': 0.30290827}","{'y': 0.5299209, 'x': 0.5086879, 'confidence': 0.3405663}","{'y': 0.63584745, 'x': 0.5499822, 'confidence': 0.3019521}","{'y': 0.64521676, 'x': 0.5251567, 'confidence': 0.24516216}","{'y': 0.7048877, 'x': 0.59493715, 'confidence': 0.20772776}","{'y': 0.7049355, 'x': 0.59514153, 'confidence': 0.2867579}","{'y': 0.73709637, 'x': 0.5210037, 'confidence': 0.36192402}","{'y': 0.7400057, 'x': 0.5223353, 'confidence': 0.3499464}","{'y': 0.8791532, 'x': 0.5241475, 'confidence': 0.3286599}","{'y': 0.87897736, 'x': 0.52961856, 'confidence': 0.32847115}","{'y': 0.97687787, 'x': 0.5608852, 'confidence': 0.20822495}","{'y': 0.9747016, 'x': 0.56453407, 'confidence': 0.23154192}"
"{'y': 0.20724434, 'x': 0.62858844, 'confidence': 0.35260904}","{'y': 0.16174148, 'x': 0.66041, 'confidence': 0.4047739}","{'y': 0.18032657, 'x': 0.60674495, 'confidence': 0.32113343}","{'y': 0.15534152, 'x': 0.7804148, 'confidence': 0.3904396}","{'y': 0.19517075, 'x': 0.5895254, 'confidence': 0.2253096}","{'y': 0.4429956, 'x': 0.6494098, 'confidence': 0.12092193}","{'y': 0.5054279, 'x': 0.50238335, 'confidence': 0.1391064}","{'y': 0.61252713, 'x': 0.55558527, 'confidence': 0.07581155}","{'y': 0.65178865, 'x': 0.43314168, 'confidence': 0.20267867}","{'y': 0.6711397, 'x': 0.52770334, 'confidence': 0.08665058}","{'y': 0.70431066, 'x': 0.40959632, 'confidence': 0.17861383}","{'y': 0.7501819, 'x': 0.57908195, 'confidence': 0.10370609}","{'y': 0.72416055, 'x': 0.4923709, 'confidence': 0.15130644}","{'y': 0.88952935, 'x': 0.46049964, 'confidence': 0.17786638}","{'y': 0.88307077, 'x': 0.4522554, 'confidence': 0.21133757}","{'y': 0.9803893, 'x': 0.48296455, 'confidence': 0.07961141}","{'y': 0.97332233, 'x': 0.45020318, 'confidence': 0.07645907}"
"{'y': 0.41051537, 'x': 0.55779004, 'confidence': 0.05802097}","{'y': 0.38635117, 'x': 0.575058, 'confidence': 0.07016385}","{'y': 0.14639252, 'x': 0.34125942, 'confidence': 0.25772557}","{'y': 0.39115185, 'x': 0.5737775, 'confidence': 0.10836264}","{'y': 0.47401047, 'x': 0.61453384, 'confidence': 0.19049136}","{'y': 0.51644564, 'x': 0.5938055, 'confidence': 0.272808}","{'y': 0.5227855, 'x': 0.58314675, 'confidence': 0.273235}","{'y': 0.5617017, 'x': 0.61807555, 'confidence': 0.17541519}","{'y': 0.55225223, 'x': 0.68856066, 'confidence': 0.27128065}","{'y': 0.57348883, 'x': 0.6900225, 'confidence': 0.2642443}","{'y': 0.5739763, 'x': 0.684626, 'confidence': 0.26923636}","{'y': 0.5861793, 'x': 0.63288355, 'confidence': 0.25462186}","{'y': 0.6600236, 'x': 0.55605924, 'confidence': 0.09436922}","{'y': 0.61828053, 'x': 0.6823448, 'confidence': 0.43684566}","{'y': 0.62254244, 'x': 0.66961473, 'confidence': 0.40908217}","{'y': 0.9680706, 'x': 0.5281178, 'confidence': 0.051953286}","{'y': 0.6507033, 'x': 0.6745247, 'confidence': 0.3665953}"
"{'y': 0.22860955, 'x': 0.6107137, 'confidence': 0.26535904}","{'y': 0.1734175, 'x': 0.6524625, 'confidence': 0.28577316}","{'y': 0.19823936, 'x': 0.57797253, 'confidence': 0.2956766}","{'y': 0.19096029, 'x': 0.73647815, 'confidence': 0.26498085}","{'y': 0.23448402, 'x': 0.53778076, 'confidence': 0.23798242}","{'y': 0.4525182, 'x': 0.6253486, 'confidence': 0.08280805}","{'y': 0.50017685, 'x': 0.4880388, 'confidence': 0.0864256}","{'y': 0.6836579, 'x': 0.44342348, 'confidence': 0.06372215}","{'y': 0.6583234, 'x': 0.4518455, 'confidence': 0.085251145}","{'y': 0.96684384, 'x': 0.4610019, 'confidence': 0.11169031}","{'y': 0.6991683, 'x': 0.49869272, 'confidence': 0.03649277}","{'y': 0.72213286, 'x': 0.5909442, 'confidence': 0.025377924}","{'y': 0.71255505, 'x': 0.52124, 'confidence': 0.035366494}","{'y': 0.7791758, 'x': 0.57594216, 'confidence': 0.05518072}","{'y': 0.7865718, 'x': 0.4961541, 'confidence': 0.09249814}","{'y': 0.9389975, 'x': 0.5637705, 'confidence': 0.020908954}","{'y': 0.9495184, 'x': 0.4808558, 'confidence': 0.044938}"
"{'y': 0.33593136, 'x': 0.5248031, 'confidence': 0.22847374}","{'y': 0.32060963, 'x': 0.544068, 'confidence': 0.15334368}","{'y': 0.305941, 'x': 0.51327527, 'confidence': 0.10186742}","{'y': 0.34128207, 'x': 0.5643705, 'confidence': 0.22444387}","{'y': 0.36328027, 'x': 0.59372526, 'confidence': 0.23552845}","{'y': 0.48558742, 'x': 0.530815, 'confidence': 0.20845501}","{'y': 0.49061504, 'x': 0.42829835, 'confidence': 0.14153272}","{'y': 0.61340946, 'x': 0.5444322, 'confidence': 0.10254427}","{'y': 0.6994761, 'x': 0.51424176, 'confidence': 0.1602238}","{'y': 0.83460504, 'x': 0.5923791, 'confidence': 0.24588913}","{'y': 0.6290263, 'x': 0.50790584, 'confidence': 0.02971504}","{'y': 0.76788014, 'x': 0.53548723, 'confidence': 0.058229774}","{'y': 0.9536863, 'x': 0.33189803, 'confidence': 0.13411771}","{'y': 0.8804751, 'x': 0.5343418, 'confidence': 0.06472399}","{'y': 0.89146686, 'x': 0.517552, 'confidence': 0.04921932}","{'y': 0.99341744, 'x': 0.4718494, 'confidence': 0.031554457}","{'y': 0.9725811, 'x': 0.49015576, 'confidence': 0.054353934}"
"{'y': 0.2165149, 'x': 0.5923555, 'confidence': 0.48517904}","{'y': 0.18016799, 'x': 0.6440535, 'confidence': 0.44341597}","{'y': 0.19148448, 'x': 0.56476194, 'confidence': 0.39717996}","{'y': 0.21357007, 'x': 0.74978656, 'confidence': 0.47928187}","{'y': 0.22099975, 'x': 0.5420817, 'confidence': 0.2925772}","{'y': 0.5480047, 'x': 0.90704924, 'confidence': 0.45107043}","{'y': 0.50282943, 'x': 0.50685984, 'confidence': 0.2761475}","{'y': 0.9301304, 'x': 0.96969885, 'confidence': 0.17285287}","{'y': 0.54332066, 'x': 0.47095302, 'confidence': 0.09089061}","{'y': 0.5135227, 'x': 0.71745867, 'confidence': 0.014313748}","{'y': 0.48758808, 'x': 0.5216123, 'confidence': 0.09156392}","{'y': 0.9903673, 'x': 0.7473772, 'confidence': 0.21435395}","{'y': 0.9905232, 'x': 0.52080333, 'confidence': 0.22458753}","{'y': 0.9993622, 'x': 0.6669376, 'confidence': 0.068987906}","{'y': 0.9997237, 'x': 0.40278578, 'confidence': 0.032874018}","{'y': 1.0063754, 'x': 0.67392623, 'confidence': 0.05384042}","{'y': 0.9973077, 'x': 0.40528437, 'confidence': 0.03839526}"
"{'y': 0.34654027, 'x': 0.40629622, 'confidence': 0.44190797}","{'y': 0.2830458, 'x': 0.45349583, 'confidence': 0.49987927}","{'y': 0.31982166, 'x': 0.37941477, 'confidence': 0.4135063}","{'y': 0.29724082, 'x': 0.5768912, 'confidence': 0.43955618}","{'y': 0.37866196, 'x': 0.35712704, 'confidence': 0.23375612}","{'y': 0.6051047, 'x': 0.7936392, 'confidence': 0.4434597}","{'y': 0.6949731, 'x': 0.4291914, 'confidence': 0.35960618}","{'y': 0.9407822, 'x': 0.96158904, 'confidence': 0.25193417}","{'y': 0.7195801, 'x': 0.29859954, 'confidence': 0.042588845}","{'y': 0.5561149, 'x': 0.2190774, 'confidence': 0.09456579}","{'y': 0.675976, 'x': 0.34108856, 'confidence': 0.08820383}","{'y': 1.0029768, 'x': 0.8065929, 'confidence': 0.045886137}","{'y': 1.0118407, 'x': 0.54942894, 'confidence': 0.0373223}","{'y': 0.9618412, 'x': 0.59180254, 'confidence': 0.03982842}","{'y': 1.0089074, 'x': 0.28606412, 'confidence': 0.020439532}","{'y': 1.003954, 'x': 0.6327261, 'confidence': 0.020979334}","{'y': 0.6888925, 'x': 0.36080933, 'confidence': 0.043651186}"
"{'y': 0.30081144, 'x': 0.540253, 'confidence': 0.1890435}","{'y': 0.26130983, 'x': 0.5694102, 'confidence': 0.29016942}","{'y': 0.23810889, 'x': 0.49839762, 'confidence': 0.26947978}","{'y': 0.31630465, 'x': 0.61585116, 'confidence': 0.27230158}","{'y': 0.3129437, 'x': 0.38340008, 'confidence': 0.39660913}","{'y': 0.61071795, 'x': 0.69550604, 'confidence': 0.2606531}","{'y': 0.727335, 'x': 0.22459145, 'confidence': 0.57759035}","{'y': 0.88300115, 'x': 0.8082679, 'confidence': 0.22853422}","{'y': 0.98871356, 'x': 0.17759904, 'confidence': 0.13366058}","{'y': 0.6348363, 'x': 0.6983235, 'confidence': 0.035372235}","{'y': 0.56900394, 'x': 0.5623516, 'confidence': 0.05974903}","{'y': 0.9916218, 'x': 0.68025666, 'confidence': 0.09457719}","{'y': 1.0054231, 'x': 0.46059495, 'confidence': 0.101721406}","{'y': 1.0127507, 'x': 0.67147595, 'confidence': 0.076013006}","{'y': 0.8103125, 'x': 0.19940823, 'confidence': 0.14675438}","{'y': 0.955205, 'x': 0.97324973, 'confidence': 0.069485195}","{'y': 1.0118684, 'x': 0.46073607, 'confidence': 0.04566706}"
"{'y': 0.34537622, 'x': 0.42416131, 'confidence': 0.17388679}","{'y': 0.33634266, 'x': 0.44154987, 'confidence': 0.21596675}","{'y': 0.33681425, 'x': 0.44046327, 'confidence': 0.20545365}","{'y': 0.3457836, 'x': 0.43822005, 'confidence': 0.17087984}","{'y': 0.34557956, 'x': 0.4183626, 'confidence': 0.22368391}","{'y': 0.42560595, 'x': 0.42947978, 'confidence': 0.14590307}","{'y': 0.42640656, 'x': 0.45296955, 'confidence': 0.14784926}","{'y': 0.5550671, 'x': 0.3406895, 'confidence': 0.14173448}","{'y': 0.56185895, 'x': 0.3529452, 'confidence': 0.12436201}","{'y': 0.37197888, 'x': 0.5041006, 'confidence': 0.17557728}","{'y': 0.5348318, 'x': 0.32357684, 'confidence': 0.13080777}","{'y': 0.6854421, 'x': 0.45762438, 'confidence': 0.091758266}","{'y': 0.70098186, 'x': 0.4884975, 'confidence': 0.075466506}","{'y': 0.80527896, 'x': 0.51768243, 'confidence': 0.20079303}","{'y': 0.80876786, 'x': 0.51766634, 'confidence': 0.20974737}","{'y': 0.9576854, 'x': 0.5195687, 'confidence': 0.32775646}","{'y': 0.97221196, 'x': 0.4376695, 'confidence': 0.12327351}"
"{'y': 0.3248117, 'x': 0.498711, 'confidence': 0.084550306}","{'y': 0.3206321, 'x': 0.4667874, 'confidence': 0.13801575}","{'y': 0.31920764, 'x': 0.50119513, 'confidence': 0.06714513}","{'y': 0.33095306, 'x': 0.46321446, 'confidence': 0.18654828}","{'y': 0.3283641, 'x': 0.508456, 'confidence': 0.1328479}","{'y': 0.39742386, 'x': 0.4753468, 'confidence': 0.15008321}","{'y': 0.40677816, 'x': 0.5405777, 'confidence': 0.105419666}","{'y': 0.47350657, 'x': 0.48772138, 'confidence': 0.043651305}","{'y': 0.52296704, 'x': 0.6263949, 'confidence': 0.10069856}","{'y': 0.38621894, 'x': 0.58143634, 'confidence': 0.15581392}","{'y': 0.37993154, 'x': 0.5935072, 'confidence': 0.17544177}","{'y': 0.6342917, 'x': 0.50053346, 'confidence': 0.09327817}","{'y': 0.64235246, 'x': 0.52301276, 'confidence': 0.10406801}","{'y': 0.7597875, 'x': 0.48881873, 'confidence': 0.22034766}","{'y': 0.7636184, 'x': 0.48877615, 'confidence': 0.2078696}","{'y': 0.9435445, 'x': 0.47713774, 'confidence': 0.20955868}","{'y': 0.9488512, 'x': 0.48065042, 'confidence': 0.22719155}"
"{'y': 0.30747566, 'x': 0.7526054, 'confidence': 0.20876317}","{'y': 0.30259869, 'x': 0.7475631, 'confidence': 0.17288461}","{'y': 0.30903623, 'x': 0.76267844, 'confidence': 0.179045}","{'y': 0.3037142, 'x': 0.7425715, 'confidence': 0.21707149}","{'y': 0.3079709, 'x': 0.7544341, 'confidence': 0.25746593}","{'y': 0.3349438, 'x': 0.7281269, 'confidence': 0.23430918}","{'y': 0.33354932, 'x': 0.7732965, 'confidence': 0.20318137}","{'y': 0.3625393, 'x': 0.7178129, 'confidence': 0.30281532}","{'y': 0.37240744, 'x': 0.77794427, 'confidence': 0.13796805}","{'y': 0.39190057, 'x': 0.75148445, 'confidence': 0.16451763}","{'y': 0.39844832, 'x': 0.79650277, 'confidence': 0.16552381}","{'y': 0.39829013, 'x': 0.73896766, 'confidence': 0.35387242}","{'y': 0.39911854, 'x': 0.7634241, 'confidence': 0.27340132}","{'y': 0.44230154, 'x': 0.7523876, 'confidence': 0.21499299}","{'y': 0.43806905, 'x': 0.77609485, 'confidence': 0.29428202}","{'y': 0.47595584, 'x': 0.7394874, 'confidence': 0.20898688}","{'y': 0.47599497, 'x': 0.7491791, 'confidence': 0.21344388}"
"{'y': 0.32373345, 'x': 0.25500757, 'confidence': 0.3366089}","{'y': 0.31918067, 'x': 0.25495002, 'confidence': 0.2964872}","{'y': 0.32095638, 'x': 0.25815293, 'confidence': 0.2698546}","{'y': 0.31935063, 'x': 0.25575954, 'confidence': 0.34375885}","{'y': 0.32183957, 'x': 0.26264572, 'confidence': 0.32105595}","{'y': 0.34339786, 'x': 0.2573919, 'confidence': 0.33462054}","{'y': 0.3460643, 'x': 0.2609082, 'confidence': 0.33416733}","{'y': 0.37552947, 'x': 0.25352338, 'confidence': 0.2854867}","{'y': 0.37214756, 'x': 0.2544902, 'confidence': 0.25508344}","{'y': 0.38675925, 'x': 0.24440663, 'confidence': 0.24535623}","{'y': 0.38504055, 'x': 0.24314407, 'confidence': 0.23759604}","{'y': 0.41488084, 'x': 0.25640374, 'confidence': 0.3682071}","{'y': 0.41543236, 'x': 0.254719, 'confidence': 0.38590008}","{'y': 0.47663933, 'x': 0.25517404, 'confidence': 0.36159402}","{'y': 0.4784088, 'x': 0.25070947, 'confidence': 0.35011837}","{'y': 0.538883, 'x': 0.2638537, 'confidence': 0.35243845}","{'y': 0.53917336, 'x': 0.25499994, 'confidence': 0.29798067}"
"{'y': 0.26521778, 'x': 0.562043, 'confidence': 0.21364751}","{'y': 0.21143822, 'x': 0.59454685, 'confidence': 0.21918283}","{'y': 0.24595095, 'x': 0.5355342, 'confidence': 0.121997915}","{'y': 0.22074105, 'x': 0.7226893, 'confidence': 0.28414246}","{'y': 0.25119448, 'x': 0.51546365, 'confidence': 0.12550032}","{'y': 0.46634308, 'x': 0.61531126, 'confidence': 0.088401474}","{'y': 0.47267446, 'x': 0.4930946, 'confidence': 0.15137266}","{'y': 0.7477335, 'x': 0.37493253, 'confidence': 0.135568}","{'y': 0.6915973, 'x': 0.40178806, 'confidence': 0.08407129}","{'y': 0.7227778, 'x': 0.32011095, 'confidence': 0.13184403}","{'y': 0.72246695, 'x': 0.3240039, 'confidence': 0.15574327}","{'y': 0.9636966, 'x': 0.6206225, 'confidence': 0.10397443}","{'y': 0.82544076, 'x': 0.47958326, 'confidence': 0.026881395}","{'y': 0.891979, 'x': 0.529721, 'confidence': 0.034792926}","{'y': 0.93049437, 'x': 0.39533836, 'confidence': 0.05827044}","{'y': 0.9968036, 'x': 0.5153866, 'confidence': 0.034791183}","{'y': 0.9856636, 'x': 0.41891375, 'confidence': 0.060157172}"
"{'y': 0.24645919, 'x': 0.55640686, 'confidence': 0.28768334}","{'y': 0.20491035, 'x': 0.59595424, 'confidence': 0.2450469}","{'y': 0.21909757, 'x': 0.5272974, 'confidence': 0.25090677}","{'y': 0.23225477, 'x': 0.72648317, 'confidence': 0.37058097}","{'y': 0.24870954, 'x': 0.49945483, 'confidence': 0.16997357}","{'y': 0.5643703, 'x': 0.80666363, 'confidence': 0.21505077}","{'y': 0.49488366, 'x': 0.47485927, 'confidence': 0.18631282}","{'y': 0.9463772, 'x': 0.966455, 'confidence': 0.16049078}","{'y': 0.75858307, 'x': 0.38481855, 'confidence': 0.24909595}","{'y': 0.9663673, 'x': 0.3821304, 'confidence': 0.12765566}","{'y': 0.7581565, 'x': 0.3770117, 'confidence': 0.0580436}","{'y': 0.92467743, 'x': 0.6268689, 'confidence': 0.037537456}","{'y': 0.9948855, 'x': 0.4925049, 'confidence': 0.10982587}","{'y': 0.9902238, 'x': 0.58525753, 'confidence': 0.033586856}","{'y': 0.96616167, 'x': 0.39031005, 'confidence': 0.045904778}","{'y': 1.0057695, 'x': 0.54051447, 'confidence': 0.030061802}","{'y': 0.98667544, 'x': 0.3883024, 'confidence': 0.060170576}"
"{'y': 0.39265716, 'x': 0.5253657, 'confidence': 0.17659147}","{'y': 0.3894134, 'x': 0.5425638, 'confidence': 0.21302934}","{'y': 0.35091037, 'x': 0.51293135, 'confidence': 0.12524702}","{'y': 0.39166513, 'x': 0.5289254, 'confidence': 0.135378}","{'y': 0.31275603, 'x': 0.45168924, 'confidence': 0.09298263}","{'y': 0.46373236, 'x': 0.46738878, 'confidence': 0.06185816}","{'y': 0.4640739, 'x': 0.4378905, 'confidence': 0.081976354}","{'y': 0.5542847, 'x': 0.46307728, 'confidence': 0.056964178}","{'y': 0.5533018, 'x': 0.43552783, 'confidence': 0.056926884}","{'y': 0.5241446, 'x': 0.4753651, 'confidence': 0.07762257}","{'y': 0.5383987, 'x': 0.48207518, 'confidence': 0.070389934}","{'y': 0.6971225, 'x': 0.43057075, 'confidence': 0.067525014}","{'y': 0.6948106, 'x': 0.3806466, 'confidence': 0.04693998}","{'y': 0.75664926, 'x': 0.4362643, 'confidence': 0.06341422}","{'y': 0.7633765, 'x': 0.38746512, 'confidence': 0.041341744}","{'y': 0.9647507, 'x': 0.39666423, 'confidence': 0.07233441}","{'y': 0.9013359, 'x': 0.3516388, 'confidence': 0.0465614}"
"{'y': 0.4117951, 'x': 0.55761045, 'confidence': 0.13655591}","{'y': 0.38671035, 'x': 0.5596469, 'confidence': 0.13688032}","{'y': 0.3875837, 'x': 0.53130376, 'confidence': 0.11199513}","{'y': 0.37520158, 'x': 0.55799216, 'confidence': 0.100442864}","{'y': 0.38461387, 'x': 0.48132682, 'confidence': 0.10626809}","{'y': 0.47592598, 'x': 0.57302964, 'confidence': 0.17131312}","{'y': 0.5231298, 'x': 0.51740897, 'confidence': 0.162802}","{'y': 0.5419902, 'x': 0.59847337, 'confidence': 0.10633827}","{'y': 0.5963017, 'x': 0.49515188, 'confidence': 0.053195998}","{'y': 0.5637009, 'x': 0.6247929, 'confidence': 0.14239036}","{'y': 0.55097336, 'x': 0.5894942, 'confidence': 0.11992926}","{'y': 0.64829296, 'x': 0.5753949, 'confidence': 0.09449877}","{'y': 0.6174078, 'x': 0.5590604, 'confidence': 0.1255815}","{'y': 0.73776025, 'x': 0.5780369, 'confidence': 0.06660254}","{'y': 0.7432598, 'x': 0.5653179, 'confidence': 0.03389874}","{'y': 0.46420968, 'x': 0.95864886, 'confidence': 0.2677521}","{'y': 0.90695184, 'x': 0.57168674, 'confidence': 0.022058459}"
